x,y,z
-147,165,-13.07
-147,164,-11.681
-147,163,-10.293
-147,162,-9.1862
-147,161,-8.3246
-147,160,-7.5214
-147,159,-6.7182
-147,158,-5.915
-147,157,-5.1118
-147,156,-4.8634
-147,155,-4.7072
-147,154,-4.5509
-147,153,-4.3947
-147,152,-4.2384
-147,151,-4.0822
-147,150,-4.0001
-147,149,-4.0001
-147,148,-4.0001
-147,147,-4.0001
-147,146,-4.0001
-147,145,-4.0001
-147,144,-4.0001
-147,143,-4.0001
-147,142,-4.0001
-147,141,-4.0001
-147,140,-4.0001
-147,139,-4.0001
-147,138,-3.9922
-147,137,-3.9903
-147,136,-3.9903
-147,135,-3.9903
-147,134,-3.9903
-147,133,-3.9903
-147,132,-3.9903
-147,131,-3.9528
-147,130,-3.8776
-147,129,-3.8024
-147,128,-3.7271
-147,127,-3.6519
-147,126,-3.5767
-147,125,-3.5015
-147,124,-3.2462
-147,123,-3.0793
-147,122,-3.2746
-147,121,-3.2746
-147,120,-3.2746
-147,119,-3.2746
-147,118,-3.2746
-147,117,-3.2746
-147,116,-3.2746
-147,115,-3.2746
-147,114,-3.2746
-147,113,-3.2746
-147,112,-3.2746
-147,111,-3.2746
-147,110,-3.2746
-147,109,-3.2746
-147,108,-3.2746
-147,107,-3.2746
-147,106,-3.2746
-147,105,-3.2746
-147,104,-3.2746
-147,103,-3.2746
-147,102,-3.2746
-147,101,-3.2746
-147,100,-3.2746
-147,99,-3.2746
-147,98,-3.2746
-147,97,-3.2746
-147,96,-3.2746
-147,95,-3.2746
-147,94,-3.2746
-147,93,-3.2746
-147,92,-3.2746
-147,91,-3.2746
-147,90,-3.2582
-147,89,-3.227
-147,88,-3.1958
-147,87,-3.1645
-147,86,-3.1333
-147,85,-3.1021
-147,84,-3.0708
-147,83,-3.0396
-147,82,-3.0084
-147,81,-2.9772
-147,80,-2.9459
-147,79,-2.9147
-147,78,-2.8835
-147,77,-2.8522
-147,76,-2.821
-147,75,-2.7898
-147,74,-2.7586
-147,73,-2.7273
-147,72,-2.6961
-147,71,-2.6649
-147,70,-2.6336
-147,69,-2.6024
-147,68,-2.5712
-147,67,-2.54
-147,66,-2.5087
-147,65,-2.4775
-147,64,-2.4463
-147,63,-2.415
-147,62,-2.3838
-147,61,-2.3526
-147,60,-2.3214
-147,59,-2.2901
-147,58,-2.2589
-147,57,-2.2277
-147,56,-2.1965
-147,55,-2.1652
-147,54,-2.134
-147,53,-2.1028
-147,52,-2.0715
-147,51,-2.0403
-147,50,-2.0091
-147,49,-2.0001
-147,48,-2.0001
-147,47,-2.0001
-147,46,-2.0001
-147,45,-2.0001
-147,44,-2.0001
-147,43,-2.0001
-147,42,-1.6422
-147,41,0.5842
-147,40,2.8064
-147,39,2.9999
-147,38,2.9999
-147,37,2.9999
-147,36,2.9999
-147,35,2.9999
-147,34,2.9999
-147,33,2.9999
-147,32,2.9999
-147,31,2.9999
-147,30,2.9999
-147,29,2.9999
-147,28,2.9999
-147,27,2.9999
-147,26,2.9999
-147,25,2.9999
-147,24,2.9999
-147,23,2.9999
-147,22,2.9999
-147,21,2.9999
-147,20,2.9999
-147,19,2.9999
-147,18,2.9999
-147,17,2.9999
-147,16,2.9999
-147,15,2.9999
-147,14,2.9999
-147,13,2.9999
-147,12,2.9999
-147,11,2.1725
-147,10,0.50583
-147,9,-0.92258
-147,8,-2.0001
-147,7,-2.0001
-147,6,-2.0001
-147,5,-2.0001
-147,4,-2.0001
-147,3,-2.0001
-147,2,-2.0001
-147,1,-2.0001
-147,0,-2.0001
-146,200,-29.273
-146,199,-28.934
-146,198,-28.595
-146,197,-28.256
-146,196,-27.916
-146,195,-27.577
-146,194,-27.238
-146,193,-26.899
-146,192,-26.498
-146,191,-26.09
-146,190,-25.683
-146,189,-25.276
-146,188,-24.874
-146,187,-24.483
-146,186,-24.092
-146,185,-23.702
-146,184,-23.311
-146,183,-22.92
-146,182,-22.53
-146,181,-22.076
-146,180,-21.606
-146,179,-21.136
-146,178,-20.666
-146,177,-20.196
-146,176,-19.63
-146,175,-18.992
-146,174,-18.331
-146,173,-17.671
-146,172,-17.01
-146,171,-16.35
-146,170,-15.69
-146,169,-15.029
-146,168,-15
-146,167,-15
-146,166,-15
-146,165,-13.834
-146,164,-12.445
-146,163,-11.056
-146,162,-9.7905
-146,161,-8.9745
-146,160,-8.1549
-146,159,-7.3352
-146,158,-6.5155
-146,157,-5.7907
-146,156,-5.1413
-146,155,-4.8778
-146,154,-4.7216
-146,153,-4.5653
-146,152,-4.4091
-146,151,-4.2461
-146,150,-4.122
-146,149,-4.0549
-146,148,-4.0001
-146,147,-4.0001
-146,146,-4.0001
-146,145,-4.0001
-146,144,-4.0001
-146,143,-4.0001
-146,142,-4.0001
-146,141,-4.0001
-146,140,-4.0001
-146,139,-4.0001
-146,138,-4.0001
-146,137,-4.0001
-146,136,-4.0001
-146,135,-4.0001
-146,134,-4.0001
-146,133,-4.0001
-146,132,-4.0001
-146,131,-3.9478
-146,130,-3.9144
-146,129,-3.9689
-146,128,-3.9679
-146,127,-3.8927
-146,126,-3.8175
